id,city,state,state_2,zip,created_at,updated_at,lat,long,tz_offset,dst
32347,Pepeekeo,Hawaii,HI,96783,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.843259,-155.10548,-10:00,f
32348,Volcano,Hawaii,HI,96785,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.447717,-155.21012,-10:00,f
32350,Mililani,Hawaii,HI,96789,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.459206,-158.01160,-10:00,f
32351,Kula,Hawaii,HI,96790,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,20.724391,-156.34031,-10:00,f
32352,Waialua,Hawaii,HI,96791,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.572131,-158.13489,-10:00,f
32354,Wailuku,Hawaii,HI,96793,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,20.889294,-156.50497,-10:00,f
32355,Waimanalo,Hawaii,HI,96795,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.337430,-157.70599,-10:00,f
32357,Waipahu,Hawaii,HI,96797,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.403487,-158.01389,-10:00,f
32358,Honolulu,Hawaii,HI,96813,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.313033,-157.85615,-10:00,f
32359,Honolulu,Hawaii,HI,96814,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.300167,-157.84777,-10:00,f
32361,Honolulu,Hawaii,HI,96816,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.284000,-157.79925,-10:00,f
32364,Honolulu,Hawaii,HI,96819,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.345200,-157.88165,-10:00,f
32365,Honolulu,Hawaii,HI,96821,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.287967,-157.75456,-10:00,f
32366,Honolulu,Hawaii,HI,96822,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.312750,-157.82195,-10:00,f
32368,Honolulu,Hawaii,HI,96826,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.295100,-157.83066,-10:00,f
32369,Barbers Point Nas,Hawaii,HI,96862,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.301700,-158.08174,-10:00,f
32282,Aiea,Hawaii,HI,96701,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.389167,-157.93091,-10:00,f
32289,Hakalau,Hawaii,HI,96710,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.857045,-155.15249,-10:00,f
32293,Hanapepe,Hawaii,HI,96716,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.917153,-159.59407,-10:00,f
32296,Hawi,Hawaii,HI,96719,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,20.241109,-155.84459,-10:00,f
32300,Honokaa,Hawaii,HI,96727,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,20.089087,-155.51679,-10:00,f
32303,Kaaawa,Hawaii,HI,96730,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.554467,-157.85108,-10:00,f
32307,Ocean View,Hawaii,HI,96737,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,19.101978,-155.76114,-10:00,f
32310,Kalaheo,Hawaii,HI,96741,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,21.999721,-159.47760,-10:00,f
32314,Kapaa,Hawaii,HI,96746,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,22.077472,-159.34463,-10:00,f
